@RELATION priming_system

@ATTRIBUTE temperature  NUMERIC
@ATTRIBUTE QB   		NUMERIC
@ATTRIBUTE QB03         NUMERIC
@ATTRIBUTE MZ03         NUMERIC
@ATTRIBUTE bridge_resistance NUMERIC
@ATTRIBUTE electric_strength NUMERIC
@ATTRIBUTE class        {合格,不合格}

@DATA
15,18,59,59.78,1.15,508.87,不合格
15,17,59,57.29,1.08,512.15,不合格
15,17,59,57.35,1.02,511.57,不合格
15,15,61,62.54,0.93,509.91,合格
15,17,59,57.57,0.98,487.27,合格
15,18,60,57.60,0.91,484.84,合格
15,18,63,62.26,0.98,517.45,不合格
15,16,60,60.45,0.96,501.35,不合格
15,17,62,58.94,0.97,494.00,不合格
15,18,63,62.29,1.07,506.24,不合格
15,18,63,57.43,0.91,524.83,合格
15,17,63,57.74,1.11,518.68,不合格
15,18,57,60.73,1.10,501.51,不合格
15,18,63,62.27,1.02,480.48,合格
15,18,59,58.61,0.96,489.88,不合格
15,17,62,57.74,1.14,502.32,不合格
15,18,57,57.14,1.07,507.82,合格
15,18,59,60.90,1.15,503.48,不合格
15,14,60,57.68,1.01,516.95,不合格
15,16,57,62.23,1.01,509.15,不合格
15,15,61,57.86,1.09,492.84,不合格
15,17,61,57.98,0.95,482.57,合格
15,14,60,60.82,0.98,512.41,不合格
15,15,63,62.78,0.98,504.63,不合格
15,18,62,57.41,1.12,488.34,合格
15,17,61,58.84,0.96,512.36,不合格
15,18,61,62.85,1.11,494.58,合格
15,17,61,60.82,0.96,491.83,不合格
15,17,57,57.48,1.02,485.95,不合格
15,18,60,60.17,0.99,485.38,不合格
15,18,58,62.48,1.17,477.63,合格
15,15,58,57.79,0.92,516.84,合格
15,14,58,62.41,0.99,509.23,合格
15,17,63,60.59,0.96,501.65,不合格
15,14,62,62.18,0.99,489.59,不合格
15,15,57,60.07,1.13,500.09,不合格
15,17,57,57.99,1.14,512.37,不合格
15,15,57,57.87,0.92,496.86,合格
15,15,63,62.99,0.95,502.60,合格
15,16,60,57.47,0.97,483.09,合格
15,14,61,58.85,1.02,480.63,不合格
15,18,60,57.31,1.01,482.07,合格
15,17,57,62.57,1.18,521.52,合格
15,15,59,57.63,1.10,496.12,不合格
15,16,57,57.73,1.01,490.32,合格
15,16,61,62.82,1.06,496.03,不合格
15,16,58,62.90,0.95,509.43,合格
15,16,58,62.11,1.09,510.43,合格
15,15,62,61.31,0.96,484.33,不合格
15,16,58,58.85,0.96,490.39,不合格
15,16,57,57.41,1.04,499.42,合格
15,14,59,58.14,0.97,509.32,不合格
15,18,63,62.14,1.12,511.81,合格
15,17,58,60.34,0.97,511.37,不合格
15,14,59,62.40,1.13,480.35,合格
15,14,63,60.48,1.13,517.75,不合格
15,16,58,62.34,1.08,488.06,合格
15,15,63,57.60,1.20,487.52,合格
15,18,57,62.31,0.91,481.34,合格
15,18,62,62.49,0.98,495.21,不合格
15,18,60,57.68,1.08,483.13,合格
15,18,62,60.67,1.07,483.36,不合格
15,16,61,57.32,0.97,492.71,合格
15,17,61,57.80,0.92,489.90,合格
15,16,61,62.32,1.09,493.40,合格
15,15,58,61.48,1.02,493.33,不合格
15,15,62,62.89,1.18,515.25,合格
15,14,63,57.20,0.99,512.66,合格
15,18,61,57.61,0.98,509.35,不合格
15,14,62,62.65,1.02,495.39,不合格
15,16,59,57.49,1.14,499.57,合格
15,18,63,62.51,1.08,479.44,合格
15,17,62,57.72,1.04,491.38,不合格
15,17,62,57.78,1.20,517.31,合格
15,18,57,57.16,1.02,516.13,合格
15,16,63,57.16,1.01,486.88,合格
15,17,62,61.23,1.14,482.22,不合格
15,18,59,62.78,0.94,493.69,合格
15,16,63,61.00,1.01,501.81,不合格
15,18,58,57.98,1.15,513.12,合格
15,18,59,62.55,1.00,493.57,不合格
15,14,59,62.15,1.17,503.59,合格
15,17,59,58.74,1.12,519.63,不合格
15,18,59,59.04,1.00,496.00,不合格
15,16,60,62.67,1.11,506.12,不合格
15,18,58,62.10,0.96,506.38,合格
15,17,57,61.09,1.02,493.02,不合格
15,18,62,60.55,1.13,492.11,不合格
15,18,57,57.78,1.09,496.70,合格
15,18,58,62.39,1.18,487.00,合格
15,15,61,61.29,0.95,480.94,不合格
15,15,57,57.48,0.98,517.70,不合格
15,17,60,59.58,0.99,510.78,不合格
15,14,59,57.94,1.05,488.84,合格
15,18,62,57.67,1.06,519.74,不合格
15,14,62,62.35,1.06,475.78,合格
15,14,60,58.53,1.03,516.91,不合格
15,17,59,62.78,1.10,486.48,不合格
15,15,58,58.84,1.12,492.44,不合格
15,15,57,62.99,0.98,513.86,合格
15,17,62,57.55,1.09,505.48,合格
15,18,59,57.41,0.95,521.40,合格
15,16,63,62.31,0.99,508.07,不合格
15,16,62,62.57,0.92,495.60,合格
15,16,58,62.77,1.17,482.73,合格
15,17,62,57.54,1.07,523.33,合格
15,18,57,62.56,0.94,497.70,合格
15,14,61,62.70,0.99,516.87,合格
15,18,57,62.52,1.05,492.69,不合格
15,14,63,62.62,1.11,509.51,合格
15,14,59,62.63,1.05,477.11,合格
15,17,63,62.99,0.99,510.42,合格
15,17,60,57.35,0.96,480.58,不合格
15,17,60,60.46,1.06,481.44,不合格
15,15,60,59.19,1.02,517.43,不合格
15,15,58,57.61,1.15,485.69,合格
15,14,61,59.41,1.04,517.43,不合格
15,15,59,62.95,1.19,490.07,合格
15,18,57,57.42,1.17,499.81,合格
15,16,59,60.59,1.15,484.93,不合格
15,15,60,57.95,1.06,511.75,合格
15,18,60,62.65,0.97,500.77,不合格
15,14,58,57.41,1.05,482.62,合格
15,15,62,57.29,1.14,511.87,不合格
15,15,59,57.59,1.06,497.54,不合格
15,18,61,57.33,1.16,511.41,合格
15,16,59,62.49,0.94,507.43,合格
15,15,58,62.38,0.96,518.75,不合格
15,17,58,58.66,1.05,514.34,不合格
15,14,58,60.38,1.10,503.65,不合格
15,16,61,59.05,0.97,509.68,不合格
15,16,62,62.06,1.17,485.87,合格
15,14,60,57.71,0.95,482.28,合格
15,15,62,57.75,1.07,522.32,合格
15,14,57,57.42,1.08,494.75,合格
15,17,58,57.36,1.15,502.25,合格
15,16,59,57.92,0.94,498.25,合格
15,17,59,58.98,0.98,494.81,不合格
15,18,60,57.46,1.01,518.07,合格
15,17,63,57.62,1.13,510.08,合格
15,14,58,57.20,1.16,490.04,合格
15,16,61,60.18,1.11,499.66,不合格
15,17,58,57.45,0.93,497.92,合格
15,17,61,62.43,1.14,508.78,合格
15,16,59,58.32,1.15,504.86,不合格
15,14,59,60.29,1.12,480.68,不合格
15,18,61,57.50,1.18,476.78,合格
15,17,59,57.16,1.13,504.06,合格
15,16,63,59.20,1.04,515.12,不合格
15,15,62,57.93,1.06,488.77,合格
15,17,57,62.18,1.09,514.41,不合格
15,14,57,62.61,1.19,496.09,合格
15,14,57,57.52,1.18,478.75,合格
15,16,57,57.73,0.93,475.46,合格
15,18,62,57.68,1.11,519.55,不合格
15,15,59,57.25,1.12,480.07,不合格
15,18,59,59.90,1.02,517.81,不合格
15,17,61,62.36,1.07,501.45,合格
15,18,59,62.19,0.99,480.35,不合格
15,15,62,62.08,1.15,522.15,合格
15,17,57,61.67,1.11,493.91,不合格
15,17,61,62.20,0.96,511.99,不合格
15,14,63,62.66,1.10,514.85,合格
15,18,58,61.55,1.00,484.99,不合格
15,16,57,57.48,0.92,488.56,合格
15,16,62,62.53,1.07,484.75,不合格
15,17,60,61.84,1.00,504.19,不合格
15,18,60,57.26,1.12,506.06,合格
15,18,62,57.96,0.94,514.71,合格
15,16,63,57.79,1.15,486.43,不合格
15,15,58,60.16,1.07,485.03,不合格
15,17,63,57.41,1.09,506.51,合格
15,17,62,59.83,0.99,519.90,不合格
15,18,61,57.41,1.06,480.10,不合格
15,16,58,62.19,1.18,492.66,合格
15,15,60,61.73,1.12,511.43,不合格
15,18,62,62.76,0.93,498.83,合格
15,14,58,57.40,0.95,489.22,合格
15,16,62,61.28,1.01,497.36,不合格
15,17,60,62.67,1.06,492.58,合格
15,15,59,57.78,0.96,497.75,合格
15,18,58,60.77,1.13,504.47,不合格
15,14,61,62.68,1.06,506.82,合格
15,17,58,57.05,1.09,510.82,合格
15,15,63,57.16,1.12,495.78,合格
15,18,59,58.77,1.13,491.10,不合格
15,16,59,57.44,0.98,517.65,合格
15,18,61,58.55,1.07,495.80,不合格
15,14,61,57.41,1.03,483.26,不合格
15,15,58,61.72,1.00,484.83,不合格
15,15,57,58.17,1.11,488.75,不合格
15,18,63,62.36,1.04,520.21,合格
15,15,57,62.61,1.12,515.66,不合格
15,16,57,57.50,1.10,477.19,合格
15,14,62,57.97,1.01,508.51,合格
15,16,60,62.78,0.94,479.11,合格
15,18,58,58.58,1.10,489.36,不合格
15,15,60,57.63,0.98,517.07,合格
15,14,57,62.22,1.11,481.53,合格
15,14,63,62.81,1.11,492.94,不合格
15,16,61,57.23,1.13,482.37,合格
15,18,59,60.90,1.13,509.63,不合格
15,15,60,62.16,0.99,512.04,不合格
15,16,61,59.28,1.12,512.01,不合格
15,15,62,60.82,1.09,483.79,不合格
15,18,61,61.77,1.14,499.03,不合格
15,18,61,62.74,1.14,498.29,合格
15,16,63,61.36,0.98,514.10,不合格
15,18,60,57.27,1.20,523.65,合格
15,16,62,59.24,1.08,487.81,不合格
15,18,59,57.40,0.98,484.83,合格
15,18,63,57.89,1.00,502.59,合格
15,17,60,57.66,1.08,500.83,合格
15,14,59,59.00,0.98,487.95,不合格
15,18,60,57.79,0.96,496.82,不合格
15,17,60,62.61,1.11,478.89,合格
15,17,57,57.56,0.92,483.48,合格
15,15,58,62.22,1.04,502.15,不合格
15,14,60,58.83,1.08,503.23,不合格
15,15,62,57.09,0.96,491.22,合格
15,18,63,62.94,1.03,488.36,合格
15,14,59,61.99,1.02,518.53,不合格
15,15,59,62.63,1.01,483.59,合格
15,18,59,60.21,1.05,508.28,不合格
15,15,59,57.93,1.13,518.26,不合格
15,15,57,60.73,1.01,504.97,不合格
15,15,61,57.87,0.94,512.98,合格
15,16,58,61.31,1.05,486.45,不合格
15,17,60,60.29,1.10,486.00,不合格
15,14,57,62.40,1.09,481.65,合格
15,15,58,61.18,0.97,488.65,不合格
15,17,58,57.12,1.15,482.65,不合格
15,14,61,62.78,1.12,512.32,合格
15,17,61,62.62,0.97,496.28,不合格
15,16,63,59.95,0.99,483.18,不合格
15,14,57,61.32,0.99,499.69,不合格
15,15,57,57.47,1.06,483.81,合格
15,16,59,57.91,1.13,508.37,不合格
15,16,58,58.99,1.09,499.98,不合格
15,15,59,61.27,0.97,496.74,不合格
15,16,62,62.52,1.10,498.16,不合格
15,16,60,57.22,1.10,502.19,不合格
15,17,59,62.88,0.97,484.34,合格
15,18,61,59.93,1.03,480.12,不合格
15,17,62,61.34,1.06,501.72,不合格
15,16,62,62.51,1.12,481.29,合格
15,17,62,57.31,1.05,488.22,合格
15,18,62,62.08,1.01,512.62,合格
15,14,58,62.92,1.19,501.82,合格
15,17,58,62.48,1.07,517.76,合格
15,16,62,57.67,1.11,504.53,合格
15,18,60,62.68,1.08,501.50,不合格
15,18,58,61.95,1.12,483.65,不合格
15,17,60,57.38,1.10,495.90,合格
15,16,61,57.79,1.06,490.44,合格
15,18,62,57.58,0.98,497.04,不合格
15,17,59,61.60,1.05,510.85,不合格
15,18,57,57.97,1.07,479.80,合格
15,15,59,57.27,1.00,489.82,不合格
15,18,58,57.84,0.95,499.89,合格
15,16,59,62.14,1.04,507.70,合格
15,15,59,57.72,0.94,483.03,合格
15,16,58,57.33,1.05,502.71,合格
15,16,63,57.09,1.16,521.21,合格
15,14,61,58.41,1.04,500.37,不合格
15,17,61,57.33,1.08,493.33,不合格
15,18,57,62.98,1.18,523.39,合格
15,14,60,57.21,1.02,524.36,合格
15,16,59,62.64,0.93,505.65,合格
15,17,58,62.40,0.93,501.79,合格
15,16,57,57.54,1.14,494.07,不合格
15,18,58,57.19,1.17,481.56,合格
15,14,60,62.14,1.12,520.20,合格
15,15,61,62.79,1.09,509.47,不合格
15,17,62,60.28,1.02,496.33,不合格
15,16,57,62.72,1.08,517.90,合格
15,14,59,57.03,1.20,483.60,合格
15,17,59,57.67,1.04,477.55,合格
15,16,63,62.60,1.11,512.82,不合格
15,16,57,57.98,1.17,488.51,合格
15,15,58,57.06,0.91,512.03,合格
15,15,58,57.20,1.06,519.29,合格
15,15,59,61.12,1.02,501.46,不合格
15,14,58,62.82,0.99,497.26,合格
15,15,61,58.55,1.14,483.91,不合格
15,14,61,59.26,1.10,518.67,不合格
15,17,57,60.98,1.04,493.43,不合格
15,17,59,57.97,0.99,512.48,不合格
15,14,61,62.07,1.01,497.01,不合格
15,16,59,57.21,1.00,487.93,不合格
15,17,57,61.06,1.06,496.12,不合格
15,14,61,60.88,0.97,503.18,不合格
15,15,59,57.85,1.17,523.73,合格
15,18,61,62.50,1.04,516.04,合格
15,17,60,57.99,0.96,516.45,合格
15,15,60,60.43,1.14,515.79,不合格
15,18,58,57.70,1.05,510.90,不合格
15,18,60,57.86,1.00,484.10,合格
15,16,57,62.87,1.12,496.32,合格
15,14,63,57.17,1.09,517.22,合格
15,18,60,57.20,1.07,482.30,合格
15,16,61,57.83,1.11,476.30,合格
15,14,58,62.02,1.11,518.17,不合格
15,16,63,57.73,0.92,517.57,合格
15,16,62,57.30,1.12,488.85,合格
15,18,61,62.93,1.10,487.92,合格
15,16,60,62.57,1.01,494.25,不合格
15,17,59,60.87,0.97,496.68,不合格
15,16,58,62.01,0.96,519.49,合格
15,18,63,62.91,0.91,484.40,合格
15,16,62,59.77,1.00,516.91,不合格
15,16,60,62.73,1.03,505.19,不合格
15,15,61,61.00,1.10,486.85,不合格
15,16,59,58.04,0.99,487.45,不合格
15,16,59,62.81,0.94,481.00,合格
15,16,61,57.87,1.07,493.41,合格
15,17,61,57.18,0.93,477.65,合格
15,14,60,57.92,1.14,475.19,合格
15,16,58,60.09,1.13,489.59,不合格
15,14,61,62.06,1.15,506.89,合格
15,14,59,60.38,1.02,508.58,不合格
15,17,63,62.22,0.90,506.84,合格
15,18,61,62.92,1.13,496.54,合格
15,16,60,62.20,1.13,477.93,合格
15,14,59,62.67,1.09,504.39,合格
15,15,57,57.50,1.13,507.84,不合格
15,15,57,57.31,1.15,478.10,合格
15,14,60,57.03,1.02,479.94,合格
15,18,61,62.65,1.05,482.41,不合格
15,17,57,57.84,1.13,513.04,合格
15,17,60,62.22,0.97,492.24,合格
15,15,57,57.26,1.17,503.21,合格
15,18,61,57.25,0.92,485.85,合格
15,15,61,62.81,1.05,509.95,不合格
15,14,62,62.02,1.13,479.38,合格
15,18,62,61.72,1.03,515.02,不合格
15,16,61,62.38,1.08,486.87,合格
15,16,63,58.14,1.10,504.09,不合格
15,18,59,62.85,0.95,478.61,合格
15,16,60,61.24,1.06,498.96,不合格
15,18,57,60.74,1.08,499.12,不合格
15,14,57,60.41,1.14,499.59,不合格
15,18,60,59.40,0.99,492.40,不合格
15,16,58,62.55,1.01,494.54,合格
15,14,58,57.64,0.92,513.78,合格
15,17,61,59.37,0.99,497.00,不合格
15,15,61,62.09,0.92,502.56,合格
15,18,57,59.33,0.98,495.04,不合格
15,18,57,57.77,1.07,502.58,不合格
15,18,57,60.45,1.05,486.64,不合格
15,18,58,58.88,0.96,518.23,不合格
15,17,57,62.27,1.02,523.57,合格
15,14,61,60.51,1.03,518.59,不合格
15,16,60,62.16,1.01,491.15,合格
15,16,61,62.41,1.10,505.14,合格
15,18,59,60.71,0.96,503.21,不合格
15,14,60,62.91,1.01,498.90,合格
15,16,57,57.96,1.11,507.27,不合格
15,17,61,62.33,1.08,478.26,合格
15,15,58,62.36,1.13,519.04,不合格
15,15,58,57.46,1.08,496.80,合格
15,14,60,61.92,0.96,519.51,不合格
15,17,57,62.78,1.14,508.73,不合格
15,17,63,61.65,1.05,496.38,不合格
15,15,62,57.75,1.03,518.91,合格
15,18,60,62.16,0.90,516.70,合格
15,14,59,57.63,0.99,507.95,合格
15,14,58,57.24,1.04,507.03,不合格
15,15,59,57.98,1.19,499.98,合格
15,17,63,62.62,1.07,496.53,不合格
15,16,58,62.98,1.20,498.69,合格
15,16,60,62.78,1.15,496.67,合格
15,17,58,57.16,0.92,501.11,合格
15,14,57,60.61,1.04,517.52,不合格
15,16,63,58.40,1.04,489.89,不合格
15,18,57,59.20,1.03,494.17,不合格
15,18,63,62.68,0.99,489.25,不合格
15,17,63,62.80,1.10,500.12,合格
15,14,58,62.68,1.08,495.31,合格
15,17,62,57.42,1.02,521.77,合格
15,14,63,62.32,0.99,488.82,不合格
15,14,59,62.14,1.00,506.24,不合格
15,18,57,62.64,1.11,524.93,合格
15,18,59,62.81,1.15,496.58,合格
15,14,62,58.27,1.02,516.07,不合格
15,14,63,62.58,1.07,519.71,合格
15,18,62,62.09,1.01,521.39,合格
15,17,61,62.18,0.96,519.03,合格
15,16,58,58.82,1.09,518.37,不合格
15,16,59,62.80,0.92,511.90,合格
15,14,60,57.57,1.19,509.15,合格
15,16,58,62.97,1.07,501.69,不合格
15,14,57,62.15,1.07,485.49,不合格
15,18,61,59.63,1.04,481.87,不合格
15,16,61,62.50,1.03,494.34,不合格
15,14,60,60.82,1.05,486.79,不合格
15,18,63,62.65,1.16,515.96,合格
15,15,61,61.46,1.02,483.20,不合格
15,18,57,62.75,0.95,510.80,不合格
15,16,62,58.80,1.09,518.48,不合格
15,16,63,59.34,1.05,487.53,不合格
15,17,59,57.51,0.98,475.62,合格
15,18,63,62.30,0.99,507.72,合格
15,16,62,62.41,0.91,493.10,合格
15,14,61,62.71,1.02,481.01,不合格
15,17,57,62.70,1.00,501.49,合格
15,17,58,58.79,1.11,516.35,不合格
15,18,58,59.30,1.01,501.04,不合格
15,14,58,60.85,1.10,490.08,不合格
15,17,59,57.12,1.00,524.75,合格
15,17,63,62.52,0.93,516.41,合格
15,16,59,59.79,1.08,519.81,不合格
15,16,59,57.45,0.92,486.52,合格
15,18,63,57.78,0.97,490.45,不合格
15,18,63,62.08,1.10,506.16,不合格
15,15,60,57.71,1.03,519.75,合格
15,18,61,62.21,0.96,496.90,合格
15,18,61,57.73,1.08,507.25,合格
15,14,61,61.97,0.95,494.58,不合格
15,15,58,60.43,0.99,482.97,不合格
15,18,62,57.28,1.11,522.48,合格
15,15,63,60.39,1.08,483.98,不合格
15,15,59,58.78,1.06,495.40,不合格
15,18,58,62.84,0.98,501.04,合格
15,15,60,61.56,1.15,500.90,不合格
15,18,59,57.58,1.08,512.67,不合格
15,17,62,57.23,0.99,480.34,不合格
15,18,59,57.68,1.01,489.55,不合格
15,17,60,57.42,0.93,504.68,合格
15,15,62,59.39,0.96,509.42,不合格
15,18,59,60.46,1.02,486.05,不合格
15,16,57,62.64,1.03,517.03,合格
15,15,58,57.85,1.00,511.64,合格
15,18,63,59.52,1.09,483.27,不合格
15,18,63,58.81,1.10,488.91,不合格
15,14,59,58.30,1.14,515.13,不合格
15,16,57,57.73,1.17,503.96,合格
15,16,60,62.62,1.01,480.23,合格
15,16,58,57.84,1.06,500.58,合格
15,15,60,59.40,0.97,517.25,不合格
15,18,59,62.07,1.15,484.63,合格
15,17,62,57.13,1.14,494.64,合格
15,15,57,62.44,1.17,500.57,合格
15,14,62,62.75,1.01,517.23,不合格
15,17,63,60.29,1.07,508.14,不合格
15,14,58,57.28,1.13,492.33,不合格
15,16,62,57.10,1.09,504.22,不合格
15,16,60,59.34,0.98,486.37,不合格
15,17,59,58.18,1.04,515.06,不合格
15,17,62,62.57,1.04,492.98,合格
15,18,57,58.73,1.10,501.60,不合格
15,18,61,62.45,1.02,485.50,不合格
15,16,61,62.11,1.15,479.03,合格
15,17,61,60.45,0.97,501.57,不合格
15,14,63,60.63,1.13,514.89,不合格
15,16,63,57.93,0.97,484.68,合格
15,17,63,62.55,1.12,515.73,不合格
15,14,59,60.78,1.08,497.81,不合格
15,16,58,62.33,1.13,493.00,不合格
15,17,62,62.58,1.19,513.35,合格
15,17,58,61.46,1.05,497.51,不合格
15,17,62,61.60,1.09,480.57,不合格
15,17,59,57.91,1.03,481.98,合格
15,17,59,57.55,0.91,482.45,合格
15,14,59,61.99,1.11,515.35,不合格
15,14,60,62.83,1.01,520.51,合格
15,16,57,62.84,1.18,506.20,合格
15,15,58,60.55,1.13,516.73,不合格
15,18,60,62.30,0.94,486.52,合格
15,16,57,58.22,0.97,503.97,不合格
15,18,63,59.79,1.08,480.16,不合格
15,15,59,62.09,1.16,518.65,合格
15,14,57,62.80,0.97,512.79,合格
15,14,60,62.65,0.91,492.34,合格
15,18,57,57.94,0.90,499.21,合格
15,15,57,57.23,1.17,491.28,合格
15,14,58,59.44,1.03,486.82,不合格
15,14,63,57.70,1.06,509.66,不合格
15,16,61,57.01,0.96,501.48,合格
15,15,60,62.94,0.92,501.03,合格
15,14,60,57.00,1.04,506.57,合格
15,15,58,59.81,1.13,514.61,不合格
15,14,62,57.65,1.00,482.01,不合格
15,15,60,57.15,0.96,490.60,不合格
15,17,58,62.57,1.03,523.49,合格
15,16,61,62.96,0.92,505.72,合格
15,15,59,62.64,1.03,485.63,合格
15,17,59,62.12,1.03,484.28,合格
15,18,63,62.11,0.98,497.27,合格
15,14,63,57.06,1.14,485.87,不合格
15,15,57,58.21,1.15,518.20,不合格
15,14,57,61.46,0.96,497.53,不合格
15,18,63,59.31,1.03,506.22,不合格
15,17,57,57.25,1.16,511.58,合格
15,16,63,57.93,1.11,504.90,合格
15,15,57,60.41,1.02,493.22,不合格
15,17,59,57.03,1.12,488.57,不合格
15,14,58,61.27,1.10,485.95,不合格
15,14,58,58.39,1.11,481.68,不合格
15,14,63,60.76,1.05,493.75,不合格
15,18,60,62.93,0.90,503.96,合格
15,17,62,59.94,0.95,495.71,不合格
15,17,63,62.81,1.12,499.83,合格
15,18,59,57.35,1.08,481.26,不合格
15,16,62,57.61,1.10,514.67,合格
15,17,59,57.45,1.06,514.38,合格
15,16,59,60.34,1.00,485.23,不合格
15,14,59,62.57,1.02,505.20,合格
15,14,58,57.09,0.98,485.81,合格
15,18,63,62.85,1.17,517.03,合格
15,16,61,62.82,0.97,502.65,合格
15,14,60,61.78,1.05,490.08,不合格
15,16,60,62.40,1.17,524.06,合格
15,14,61,62.07,1.09,476.11,合格
15,16,58,62.08,1.12,519.04,合格
15,17,57,57.81,1.04,476.06,合格
15,17,61,59.61,0.99,500.69,不合格
15,15,61,60.18,1.03,515.35,不合格
15,18,63,57.15,1.20,485.17,合格
15,15,58,59.99,0.96,493.16,不合格
15,16,57,58.88,0.95,484.55,不合格
15,18,61,59.89,1.03,497.73,不合格
15,16,60,62.26,1.08,486.63,合格
15,14,61,57.23,1.01,484.02,合格
15,16,62,62.98,1.00,494.60,合格
15,16,60,57.95,0.96,504.07,不合格
15,16,63,57.80,1.14,515.65,不合格
15,17,61,59.87,1.14,518.16,不合格
15,16,62,57.70,1.02,492.97,合格
15,17,62,57.38,0.95,478.45,合格
15,18,61,62.15,1.02,510.35,合格
15,17,61,59.81,1.04,501.86,不合格
15,14,59,58.17,0.95,483.20,不合格
15,17,61,62.64,1.00,490.12,不合格
15,14,62,62.02,1.05,499.18,合格
15,18,63,61.08,0.99,516.86,不合格
15,14,63,61.06,1.08,498.87,不合格
15,16,62,57.22,0.96,515.56,不合格
15,14,58,59.79,1.02,486.77,不合格
15,18,62,57.02,0.98,492.52,合格
